開放粵語字典（粵拼版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［粵拼］
苞	苞	baau1
胞	胞	baau1
孢	孢	baau1
飽	饱	baau2
爆	爆	baau3
鮑	鲍	baau6
齙	龅	baau6
跛	跛	bai1/bo2
蔽	蔽	bai3
閉	闭	bai3
贔	赑	bai3
敝	敝	bai6
弊	弊	bai6
陛	陛	bai6
斃	毙	bai6
狴	狴	bai6
幣	币	bai6
北	北	bak1
泵	泵	bam1
乓	乓	bam1/pong1
奔	奔	ban1
檳	槟	ban1
賓	宾	ban1
繽	缤	ban1
濱	滨	ban1
斌	斌	ban1
彬	彬	ban1
瀕	濒	ban1/pan4
品	品	ban2
稟	禀	ban2
擯	摈	ban3
殯	殡	ban3
鬢	鬓	ban3
笨	笨	ban6
崩	崩	bang1
鏰	镚	bang1
不	不	bat1
筆	笔	bat1
畢	毕	bat1
鈈	钚	bat1
嗶	哔	bat1
篳	筚	bat1
蹕	跸	bat1
蓽	荜	bat1
拔	拔	bat6
鈸	钹	bat6
弼	弼	bat6
跋	跋	bat6
苾	苾	bat6
菝	菝	bat6
啤	啤	be1
唄	呗	be6
碑	碑	bei1
卑	卑	bei1
裨	裨	bei1
悲	悲	bei1
屄	屄	bei1
比	比	bei2
彼	彼	bei2
妣	妣	bei2
匕	匕	bei2/bei3
臂	臂	bei3
痺	痹	bei3
秘	秘	bei3
泌	泌	bei3
庇	庇	bei3
轡	辔	bei3
鉍	铋	bei3
備	备	bei6
被	被	bei6
鼻	鼻	bei6
箆	箆	bei6
避	避	bei6
憊	惫	bei6/baai6
餅	饼	beng2
柄	柄	beng3/bing3
病	病	beng6/bing6
壁	壁	bik1
碧	碧	bik1
逼	逼	bik1
愎	愎	bik1
璧	璧	bik1
邊	边	bin1
辮	辫	bin1
鞭	鞭	bin1
扁	扁	bin2
匾	匾	bin2
貶	贬	bin2
變	变	bin3
便	便	bin6
卞	卞	bin6
辯	辩	bin6
辨	辨	bin6
兵	兵	bing1
冰	冰	bing1
乒	乒	bing1/ping1
丙	丙	bing2
秉	秉	bing2
炳	炳	bing2
屏	屏	bing2
餅	饼	bing2
迸	迸	bing3
併	并	bing3/ping3
並	并	bing6
觱	觱	bit1
必	必	bit1
彆	别	bit3
憋	憋	bit3
鱉	鳖	bit3
蹩	蹩	bit6
別	别	bit6
癟	瘪	bit6
鑣	镳	biu1
彪	彪	biu1
標	标	biu1
錶	表	biu1
鏢	镖	biu1
飆	飙	biu1
膘	膘	biu1
婊	婊	biu2
表	表	biu2
波	波	bo1
玻	玻	bo1
菠	菠	bo1
簸	簸	bo3
播	播	bo3
膊	膊	bok3
博	博	bok3
搏	搏	bok3
駁	驳	bok3
亳	亳	bok3
縛	缚	bok3/fok3
鉑	铂	bok6
泊	泊	bok6
箔	箔	bok6
礴	礴	bok6
雹	雹	bok6
薄	薄	bok6
舶	舶	bok6/paak3
梆	梆	bong1
幫	帮	bong1
邦	邦	bong1
綁	绑	bong2
膀	膀	bong2
榜	榜	bong2
蒡	蒡	bong2
傍	傍	bong6
鎊	镑	bong6
磅	磅	bong6
晡	晡	bou1
保	保	bou2
鴇	鸨	bou2
堡	堡	bou2
圃	圃	bou2
寶	宝	bou2
葆	葆	bou2
補	补	bou2
佈	布	bou3
埔	埔	bou3
怖	怖	bou3
報	报	bou3
布	布	bou3
步	步	bou6
捕	捕	bou6
暴	暴	bou6
哺	哺	bou6
簿	簿	bou6
部	部	bou6
埠	埠	bou6/fau6
杯	杯	bui1
揹	背	bui3
狽	狈	bui3
貝	贝	bui3
鋇	钡	bui3
輩	辈	bui3
悖	悖	bui6
背	背	bui6
焙	焙	bui6
卜	卜	buk1
曝	曝	buk6
僕	仆	buk6
瀑	瀑	buk6
濮	濮	buk6
蹼	蹼	buk6
般	般	bun1
搬	搬	bun1
本	本	bun2
畚	畚	bun2
苯	苯	bun2
半	半	bun3
拌	拌	bun6
叛	叛	bun6
絆	绊	bun6
畔	畔	bun6
胖	胖	bun6
伴	伴	bun6/pun2
甭	甭	bung3
缽	钵	but3
荸	荸	but6
渤	渤	but6
撥	拨	but6
勃	勃	but6
脖	脖	but6
差	差	caa1
叉	叉	caa1
岔	岔	caa3
杈	杈	caa3
詫	诧	caa3
衩	衩	caa3
姹	姹	caa3
碴	碴	caa4
茬	茬	caa4
查	查	caa4
茶	茶	caa4
搽	搽	caa4
槎	槎	caa4
垞	垞	caa4
猜	猜	caai1
釵	钗	caai1
差	差	caai1
揣	揣	caai1
搋	搋	caai1
踩	踩	caai2
踹	踹	caai2
蠆	虿	caai3
柴	柴	caai4
豺	豺	caai4
儕	侪	caai4
拆	拆	caak3
冊	册	caak3
策	策	caak3
柵	栅	caak3
鰂	鲗	caak6
賊	贼	caak6
攙	搀	caam1
參	参	caam1
摻	掺	caam1
慘	惨	caam2
懺	忏	caam3
杉	杉	caam3/saam1
慚	惭	caam4
讒	谗	caam4
饞	馋	caam4
蠶	蚕	caam4
餐	餐	caan1
產	产	caan2
鏟	铲	caan2
燦	灿	caan3
璨	璨	caan3
殘	残	caan4
撐	撑	caang1
瞠	瞠	caang1
橙	橙	caang4/caang2
鋥	锃	caang6
插	插	caap3
鍤	锸	caap3
刷	刷	caat3
獺	獭	caat3
擦	擦	caat3
察	察	caat3
剎	刹	caat3/saat3
鈔	钞	caau1
抄	抄	caau1
吵	吵	caau2
炒	炒	caau2
肏	肏	caau3
巢	巢	caau4
淒	凄	cai1
棲	栖	cai1
悽	悽	cai1
妻	妻	cai1
砌	砌	cai3
切	切	cai3
沏	沏	cai3
齊	齐	cai4
薺	荠	cai4
測	测	cak1
惻	恻	cak1
侵	侵	cam1
參	参	cam1/caam1
磣	碜	cam2
寢	寝	cam2
讖	谶	cam3/caam3
蕁	荨	cam4
尋	寻	cam4
沉	沉	cam4
鱘	鲟	cam4
嗔	嗔	can1
瞋	瞋	can1
親	亲	can1
哂	哂	can2
診	诊	can2
縝	缜	can2/zan2
趁	趁	can3
襯	衬	can3
齔	龀	can3
陳	陈	can4
塵	尘	can4
曾	曾	cang4
層	层	cang4
緝	缉	cap1
葺	葺	cap1
輯	辑	cap1
柒	柒	cat1
漆	漆	cat1
七	七	cat1
抽	抽	cau1
鞦	秋	cau1
秋	秋	cau1
楸	楸	cau1
鰍	鳅	cau1
醜	丑	cau2
丑	丑	cau2
嗅	嗅	cau3
臭	臭	cau3
湊	凑	cau3
溴	溴	cau3
糗	糗	cau3
酬	酬	cau4
綢	绸	cau4
稠	稠	cau4
疇	畴	cau4
躊	踌	cau4
囚	囚	cau4
籌	筹	cau4
泅	泅	cau4
仇	仇	cau4
儔	俦	cau4
遒	遒	cau4
惆	惆	cau4
車	车	ce1
奢	奢	ce1
扯	扯	ce2
且	且	ce2
邪	邪	ce4
輋	輋	ce4
斜	斜	ce4
尺	尺	cek3
呎	呎	cek3
赤	赤	cek3
炊	炊	ceoi1
摧	摧	ceoi1
催	催	ceoi1
趨	趋	ceoi1
崔	崔	ceoi1
吹	吹	ceoi1
璀	璀	ceoi1/ceoi2
取	取	ceoi2
娶	娶	ceoi2
揣	揣	ceoi2
趣	趣	ceoi3
啐	啐	ceoi3
脆	脆	ceoi3
翠	翠	ceoi3
覷	觑	ceoi3
淬	淬	ceoi3/seoi6
焠	焠	ceoi3/seoi6
槌	槌	ceoi4
隋	隋	ceoi4
捶	捶	ceoi4
除	除	ceoi4
蜍	蜍	ceoi4
徐	徐	ceoi4
隨	随	ceoi4
錘	锤	ceoi4
滁	滁	ceoi4
春	春	ceon1
蠢	蠢	ceon2
馴	驯	ceon4
嗪	嗪	ceon4
螓	螓	ceon4
旬	旬	ceon4
巡	巡	ceon4
秦	秦	ceon4
循	循	ceon4
出	出	ceot1
齣	出	ceot1
哧	哧	ci1
疵	疵	ci1
嗤	嗤	ci1
癡	痴	ci1
差	差	ci1
魑	魑	ci1
眵	眵	ci1
螭	螭	ci1
蚩	蚩	ci1
笞	笞	ci1
跐	跐	ci1
雌	雌	ci1
鴟	鸱	ci1
矢	矢	ci2
齒	齿	ci2
始	始	ci2
此	此	ci2
侈	侈	ci2
恥	耻	ci2
褫	褫	ci2
豕	豕	ci2
跐	跐	ci2
次	次	ci3
賜	赐	ci3
幟	帜	ci3
刺	刺	ci3
廁	厕	ci3
翅	翅	ci3
熾	炽	ci3
祠	祠	ci4
篪	篪	ci4
馳	驰	ci4
慈	慈	ci4
詞	词	ci4
瓷	瓷	ci4
辭	辞	ci4
池	池	ci4
墀	墀	ci4
弛	弛	ci4
糍	糍	ci4
持	持	ci4
匙	匙	ci4
遲	迟	ci4
臍	脐	ci4
茌	茌	ci4
磁	磁	ci4
踟	踟	ci4
恃	恃	ci5
似	似	ci5
柿	柿	ci5
叱	叱	cik1
敕	敕	cik1
彳	彳	cik1
斥	斥	cik1
戚	戚	cik1
殲	歼	cim1
簽	签	cim1
纖	纤	cim1
籤	签	cim1
諂	谄	cim2
僭	僭	cim3
塹	堑	cim3
暹	暹	cim3/cim1
潛	潜	cim4
韆	千	cin1
仟	仟	cin1
千	千	cin1
遷	迁	cin1
阡	阡	cin1
淺	浅	cin2
纏	缠	cin4
錢	钱	cin4
前	前	cin4
踐	践	cin5/zin6
鯖	鲭	cing1
稱	称	cing1
氰	氰	cing1
蜻	蜻	cing1
清	清	cing1
蟶	蛏	cing1
青	青	cing1/ceng1
拯	拯	cing2
逞	逞	cing2
騁	骋	cing2
請	请	cing2/ceng2
稱	称	cing3
秤	秤	cing3
稱	称	cing3/cang3
情	情	cing4
懲	惩	cing4
程	程	cing4
晴	晴	cing4
澄	澄	cing4
澂	澂	cing4
埕	埕	cing4
呈	呈	cing4
妾	妾	cip3
設	设	cit3
切	切	cit3
徹	彻	cit3
轍	辙	cit3
掣	掣	cit3
撤	撤	cit3
澈	澈	cit3
超	超	ciu1
鍬	锹	ciu1
昭	昭	ciu1
釗	钊	ciu1
悄	悄	ciu2
悄	悄	ciu2/ciu1
峭	峭	ciu3
鞘	鞘	ciu3
俏	俏	ciu3
肖	肖	ciu3
憔	憔	ciu4
朝	朝	ciu4
潮	潮	ciu4
瞧	瞧	ciu4
樵	樵	ciu4
芻	刍	co1
雛	雏	co1
初	初	co1
搓	搓	co1
磋	磋	co1
礎	础	co2
楚	楚	co2
銼	锉	co3
錯	错	co3
挫	挫	co3
鋤	锄	co4
坐	坐	co5
戳	戳	coek3
卓	卓	coek3
綽	绰	coek3
猖	猖	coeng1
嗆	呛	coeng1
鯧	鲳	coeng1
槍	枪	coeng1
窗	窗	coeng1
戧	戗	coeng1
昌	昌	coeng1
菖	菖	coeng1
鏘	锵	coeng1
倀	伥	coeng1
娼	娼	coeng1
搶	抢	coeng2
暢	畅	coeng3
悵	怅	coeng3
倡	倡	coeng3
戧	戗	coeng3
蹌	跄	coeng3
嗆	呛	coeng3
熗	炝	coeng3
唱	唱	coeng3
詳	详	coeng4
祥	祥	coeng4
牆	墙	coeng4
薔	蔷	coeng4
翔	翔	coeng4
腸	肠	coeng4
場	场	coeng4
檣	樯	coeng4
長	长	coeng4
戕	戕	coeng4
睬	睬	coi2
采	采	coi2
綵	彩	coi2
彩	彩	coi2
採	采	coi2
菜	菜	coi3
蔡	蔡	coi3
塞	塞	coi3
賽	赛	coi3
裁	裁	coi4
才	才	coi4
材	材	coi4
財	财	coi4
錯	错	cok3
創	创	cong1
傖	伧	cong1
瘡	疮	cong1
滄	沧	cong1
艙	舱	cong1
倉	仓	cong1
蒼	苍	cong1
廠	厂	cong2
闖	闯	cong2
氅	氅	cong2
敞	敞	cong2
創	创	cong3
床	床	cong4
藏	藏	cong4
操	操	cou1
粗	粗	cou1
草	草	cou2
躁	躁	cou3
醋	醋	cou3
措	措	cou3
燥	燥	cou3
噪	噪	cou3
糙	糙	cou3
操	操	cou3/cou1
漕	漕	cou4
嘈	嘈	cou4
槽	槽	cou4
曹	曹	cou4
束	束	cuk1
矗	矗	cuk1
搐	搐	cuk1
畜	畜	cuk1
簇	簇	cuk1
蓄	蓄	cuk1
促	促	cuk1
速	速	cuk1
簌	簌	cuk1
蹴	蹴	cuk1
齪	龊	cuk1
亍	亍	cuk1
蹙	蹙	cuk1
觸	触	cuk1/zuk1
憧	憧	cung1
衝	冲	cung1
聰	聪	cung1
沖	冲	cung1
囪	囱	cung1
匆	匆	cung1
蔥	葱	cung1
涌	涌	cung1
充	充	cung1
樅	枞	cung1
驄	骢	cung1
忡	忡	cung1
冢	冢	cung2
寵	宠	cung2
叢	丛	cung4
重	重	cung4
松	松	cung4
琮	琮	cung4
從	从	cung4
蟲	虫	cung4
重	重	cung5
櫥	橱	cyu1
躇	躇	cyu1
杵	杵	cyu2
貯	贮	cyu2
處	处	cyu3
蹰	蹰	cyu4
廚	厨	cyu4/ceoi4
柱	柱	cyu5
署	署	cyu5
儲	储	cyu5
曙	曙	cyu5
處	处	cyu5
佇	伫	cyu5
褚	褚	cyu5
苧	苎	cyu5
汆	汆	cyun1
川	川	cyun1
躥	蹿	cyun1
村	村	cyun1
穿	穿	cyun1
揣	揣	cyun2
忖	忖	cyun2
喘	喘	cyun2
攛	撺	cyun2/cyun3
寸	寸	cyun3
吋	吋	cyun3
串	串	cyun3
爨	爨	cyun3
竄	窜	cyun3
詮	诠	cyun4
存	存	cyun4
銓	铨	cyun4
傳	传	cyun4
痊	痊	cyun4
泉	泉	cyun4
醛	醛	cyun4
荃	荃	cyun4
輇	辁	cyun4
筌	筌	cyun4
全	全	cyun4
撮	撮	cyut3
踅	踅	cyut3
猝	猝	cyut3
打	打	daa2
呆	呆	daai1
歹	歹	daai2
帶	带	daai3
戴	戴	daai3
大	大	daai6
眈	眈	daam1
擔	担	daam1
儋	儋	daam1
聃	聃	daam1
耽	耽	daam1
膽	胆	daam2
澹	澹	daam6
淡	淡	daam6
氮	氮	daam6
淡	淡	daam6/taam5
單	单	daan1
丹	丹	daan1
殫	殚	daan1
鄲	郸	daan1
彈	弹	daan2
誕	诞	daan3
旦	旦	daan3
撣	掸	daan5
撢	掸	daan5
但	但	daan6
蛋	蛋	daan6
憚	惮	daan6
疍	疍	daan6
彈	弹	daan6
耷	耷	daap3
答	答	daap3
瘩	瘩	daap3
搭	搭	daap3
蹋	蹋	daap6
踏	踏	daap6
沓	沓	daap6
靼	靼	daat3
妲	妲	daat3/taan2
達	达	daat6
噠	哒	daat6
繨	繨	daat6
低	低	dai1
柢	柢	dai2
底	底	dai2
骶	骶	dai2
詆	诋	dai2
邸	邸	dai2
抵	抵	dai2
帝	帝	dai3
蒂	蒂	dai3
締	缔	dai3
諦	谛	dai3
碲	碲	dai3
弟	弟	dai6
棣	棣	dai6
遞	递	dai6
第	第	dai6
悌	悌	dai6
隸	隶	dai6
逮	逮	dai6/doi6
得	得	dak1
德	德	dak1
特	特	dak6
墩	墩	dan2
燉	炖	dan6
蹬	蹬	dang1
燈	灯	dang1
噔	噔	dang1
登	登	dang1
等	等	dang2
磴	磴	dang3
鐙	镫	dang3
凳	凳	dang3
鄧	邓	dang6
瞪	瞪	dang6/dang1
凸	凸	dat6
突	突	dat6
兜	兜	dau1
蚪	蚪	dau2
抖	抖	dau2
斗	斗	dau2
陡	陡	dau2
鬥	斗	dau3
逗	逗	dau6
竇	窦	dau6
痘	痘	dau6
豆	豆	dau6/dau2
爹	爹	de1
嗲	嗲	de2
地	地	dei6
糴	籴	dek6
笛	笛	dek6
堆	堆	deoi1
對	对	deoi3
隊	队	deoi6
兌	兑	deoi6
敦	敦	deon1
惇	惇	deon1
蹲	蹲	deon1
墩	墩	deon1
沌	沌	deon6
盹	盹	deon6
噸	吨	deon6
遁	遁	deon6
鈍	钝	deon6
頓	顿	deon6
咄	咄	deot1
嫡	嫡	dik1
的	的	dik1
滴	滴	dik1
迪	迪	dik6
滌	涤	dik6
翟	翟	dik6
敵	敌	dik6
狄	狄	dik6
掂	掂	dim1
點	点	dim2
踮	踮	dim3
玷	玷	dim3
惦	惦	dim3
店	店	dim3
巔	巅	din1
碘	碘	din1
癲	癫	din1
顛	颠	din1
墊	垫	din2
碘	碘	din2
典	典	din2
墊	垫	din3
殿	殿	din6
甸	甸	din6
佃	佃	din6
靛	靛	din6
澱	淀	din6
電	电	din6
墊	垫	din6
奠	奠	din6
丁	丁	ding1
仃	仃	ding1
汀	汀	ding1
町	町	ding1
釘	钉	ding1/deng1
盯	盯	ding1/deng1
叮	叮	ding1/deng1
頂	顶	ding2
鼎	鼎	ding2
酊	酊	ding2
碇	碇	ding3
訂	订	ding3/ding6
錠	锭	ding3/ding6
定	定	ding6
啶	啶	ding6
牒	牒	dip6
喋	喋	dip6
諜	谍	dip6
疊	叠	dip6
碟	碟	dip6
蝶	蝶	dip6
鰈	鲽	dip6
跌	跌	dit3
迭	迭	dit6
秩	秩	dit6
耋	耋	dit6
丟	丢	diu1
碉	碉	diu1
刁	刁	diu1
雕	雕	diu1
貂	貂	diu1
叼	叼	diu1
鯛	鲷	diu1
凋	凋	diu1
屌	屌	diu2
吊	吊	diu3
弔	吊	diu3
釣	钓	diu3
調	调	diu6
掉	掉	diu6
哆	哆	do1
多	多	do1
躲	躲	do2
跺	跺	do2
朵	朵	do2/doe2
剁	剁	do2/doek3
惰	惰	do6
馱	驮	do6
墮	堕	do6
琢	琢	doek3
斲	斫	doek3
涿	涿	doek3
啄	啄	doek3
待	待	doi6
甙	甙	doi6
岱	岱	doi6
黛	黛	doi6
靆	叇	doi6
代	代	doi6
玳	玳	doi6
袋	袋	doi6
怠	怠	doi6/toi5
殆	殆	doi6/toi5
鐸	铎	dok6
踱	踱	dok6
度	度	dok6
噹	当	dong1
當	当	dong1
襠	裆	dong1
鐺	铛	dong1
黨	党	dong2
擋	挡	dong2
當	当	dong3
檔	档	dong3
宕	宕	dong6
蕩	荡	dong6
碭	砀	dong6
盪	荡	dong6
菪	菪	dong6
嘟	嘟	dou1
叨	叨	dou1
刀	刀	dou1
都	都	dou1
賭	赌	dou2
堵	堵	dou2
倒	倒	dou2
島	岛	dou2
睹	睹	dou2
搗	捣	dou2
妒	妒	dou3
倒	倒	dou3
到	到	dou3
蠹	蠹	dou3
稻	稻	dou6
杜	杜	dou6
盜	盗	dou6
蹈	蹈	dou6
度	度	dou6
渡	渡	dou6
悼	悼	dou6
道	道	dou6
鍍	镀	dou6
導	导	dou6
篤	笃	duk1
督	督	duk1
毒	毒	duk6
瀆	渎	duk6
黷	黩	duk6
牘	牍	duk6
獨	独	duk6
讀	读	duk6
碡	碡	duk6
髑	髑	duk6
犢	犊	duk6
櫝	椟	duk6
氡	氡	dung1
東	东	dung1
咚	咚	dung1
冬	冬	dung1
董	董	dung2
懂	懂	dung2
踵	踵	dung2
棟	栋	dung3
凍	冻	dung3
胴	胴	dung6
恫	恫	dung6
洞	洞	dung6
慟	恸	dung6
動	动	dung6
侗	侗	dung6
端	端	dyun1
短	短	dyun2
煅	煅	dyun3
鍛	锻	dyun3
緞	缎	dyun6
段	段	dyun6
斷	断	dyun6
斷	断	dyun6/dyun3
奪	夺	dyut6
欸	欸	ei1
欸	欸	ei2
欸	欸	ei4
欸	欸	ei6
花	花	faa1
化	化	faa3
快	快	faai3
傀	傀	faai3
塊	块	faai3
噲	哙	faai3
筷	筷	faai3
幡	幡	faan1
翻	翻	faan1
番	番	faan1
旛	旛	faan1
返	返	faan2
犯	犯	faan2
反	反	faan2
販	贩	faan3/faan2
泛	泛	faan3/faan6
帆	帆	faan4
凡	凡	faan4
煩	烦	faan4
繁	繁	faan4
藩	藩	faan4
樊	樊	faan4
礬	矾	faan4
蕃	蕃	faan4
釩	钒	faan4
梵	梵	faan4/faan6
範	范	faan6
飯	饭	faan6
犯	犯	faan6
瓣	瓣	faan6
范	范	faan6
髮	发	faat3
琺	珐	faat3
發	发	faat3
法	法	faat3
揮	挥	fai1
輝	辉	fai1
暉	晖	fai1
撝	撝	fai1
徽	徽	fai1
廢	废	fai3
肺	肺	fai3
費	费	fai3
沸	沸	fai3
狒	狒	fai3
吠	吠	fai6
分	分	fan1
氛	氛	fan1
紛	纷	fan1
薰	薰	fan1
熏	熏	fan1
燻	熏	fan1
婚	婚	fan1
葷	荤	fan1
昏	昏	fan1
酚	酚	fan1
芬	芬	fan1
吩	吩	fan1
勳	勋	fan1
醺	醺	fan1
粉	粉	fan2
訓	训	fan3
糞	粪	fan3
焚	焚	fan4
墳	坟	fan4
汾	汾	fan4
忿	忿	fan5
奮	奋	fan5
憤	愤	fan5
份	份	fan6
分	分	fan6
囫	囫	fat1
拂	拂	fat1
弗	弗	fat1
忽	忽	fat1
窟	窟	fat1
氟	氟	fat1
笏	笏	fat1
惚	惚	fat1
彿	佛	fat1
筏	筏	fat6
佛	佛	fat6
閥	阀	fat6
乏	乏	fat6
罰	罚	fat6
伐	伐	fat6
否	否	fau2
浮	浮	fau4
阜	阜	fau6
啡	啡	fe1
鯡	鲱	fei1
妃	妃	fei1
非	非	fei1
飛	飞	fei1
菲	菲	fei1
蜚	蜚	fei1
扉	扉	fei1
緋	绯	fei1
霏	霏	fei1
翡	翡	fei2
斐	斐	fei2
誹	诽	fei2
榧	榧	fei2
悱	悱	fei2
匪	匪	fei2
肥	肥	fei4
腓	腓	fei4
蝌	蝌	fo1
科	科	fo1
伙	伙	fo2
顆	颗	fo2
火	火	fo2
夥	伙	fo2
課	课	fo3
貨	货	fo3
霍	霍	fok3
攫	攫	fok3
荒	荒	fong1
芳	芳	fong1
方	方	fong1
坊	坊	fong1
謊	谎	fong1
肪	肪	fong1
慌	慌	fong1
邡	邡	fong1
幌	幌	fong2
紡	纺	fong2
訪	访	fong2
彷	仿	fong2
晃	晃	fong2
仿	仿	fong2
恍	恍	fong2
放	放	fong3
況	况	fong3
房	房	fong4
防	防	fong4
妨	妨	fong4
孵	孵	fu1
呼	呼	fu1
麩	麸	fu1
枯	枯	fu1
膚	肤	fu1
孚	孚	fu1
敷	敷	fu1
俘	俘	fu1
骷	骷	fu1
軤	轷	fu1
夫	夫	fu1
腑	腑	fu2
撫	抚	fu2
釜	釜	fu2
拊	拊	fu2
琥	琥	fu2
俯	俯	fu2
甫	甫	fu2
斧	斧	fu2
府	府	fu2
唬	唬	fu2
苦	苦	fu2
虎	虎	fu2
賦	赋	fu3
庫	库	fu3
副	副	fu3
褲	裤	fu3
絝	绔	fu3
戽	戽	fu3
富	富	fu3
乎	乎	fu4
扶	扶	fu4
符	符	fu4
芙	芙	fu4
婦	妇	fu5
父	父	fu6
赴	赴	fu6
負	负	fu6
附	附	fu6
輔	辅	fu6
仆	仆	fu6
腐	腐	fu6
咐	咐	fu6
付	付	fu6
傅	傅	fu6
鮒	鲋	fu6
駙	驸	fu6
訃	讣	fu6
魁	魁	fui1
灰	灰	fui1
詼	诙	fui1
恢	恢	fui1
奎	奎	fui1/kwai1
鮪	鲔	fui2
悔	悔	fui3
晦	晦	fui3
誨	诲	fui3
複	复	fuk1
覆	覆	fuk1
輻	辐	fuk1
幅	幅	fuk1
馥	馥	fuk1
蝮	蝮	fuk1
蝠	蝠	fuk1
腹	腹	fuk1
福	福	fuk1
袱	袱	fuk6
復	复	fuk6
伏	伏	fuk6
茯	茯	fuk6
宓	宓	fuk6
服	服	fuk6
貛	獾	fun1
寬	宽	fun1
歡	欢	fun1
髖	髋	fun1
款	款	fun2
鋒	锋	fung1
風	风	fung1
烽	烽	fung1
丰	丰	fung1
豐	丰	fung1
峰	峰	fung1
瘋	疯	fung1
楓	枫	fung1
封	封	fung1
蜂	蜂	fung1
諷	讽	fung3
馮	冯	fung4
逢	逢	fung4
縫	缝	fung4
縫	缝	fung4/fung6
奉	奉	fung6
鳳	凤	fung6
俸	俸	fung6/fung2
闊	阔	fut3
枷	枷	gaa1
迦	迦	gaa1
家	家	gaa1
珈	珈	gaa1
袈	袈	gaa1
伽	伽	gaa1
傢	家	gaa1
嘉	嘉	gaa1
加	加	gaa1
鎵	镓	gaa1
噶	噶	gaa1
痂	痂	gaa1
架	架	gaa2
尕	尕	gaa2
假	假	gaa2
斝	斝	gaa2
檟	槚	gaa2
賈	贾	gaa2
嫁	嫁	gaa3
稼	稼	gaa3
假	假	gaa3
駕	驾	gaa3
價	价	gaa3
架	架	gaa3
咖	咖	gaa3
皆	皆	gaai1
佳	佳	gaai1
偕	偕	gaai1
秸	秸	gaai1
階	阶	gaai1
街	街	gaai1
解	解	gaai2
蚧	蚧	gaai2/gwaai2
介	介	gaai3
屆	届	gaai3
尬	尬	gaai3
誡	诫	gaai3
戒	戒	gaai3
芥	芥	gaai3
疥	疥	gaai3
解	解	gaai3
界	界	gaai3
膈	膈	gaak3
革	革	gaak3
格	格	gaak3
胳	胳	gaak3
嗝	嗝	gaak3
鎘	镉	gaak3
隔	隔	gaak3
骼	骼	gaak3
緘	缄	gaam1
監	监	gaam1
尷	尴	gaam1/gaam3
減	减	gaam2
監	监	gaam3
鑑	鉴	gaam3
奸	奸	gaan1
姦	奸	gaan1
艱	艰	gaan1
間	间	gaan1
柬	柬	gaan2
簡	简	gaan2
繭	茧	gaan2
鐧	锏	gaan2
鹼	碱	gaan2
揀	拣	gaan2
諫	谏	gaan3
澗	涧	gaan3
間	间	gaan3
耕	耕	gaang1
更	更	gaang1
鉀	钾	gaap3
